Key,Platform UI,Platform API,Legacy,Found
miscellaneous::phone_number,FALSE,FALSE,FALSE,No
miscellaneous::PLN,FALSE,FALSE,FALSE,No
miscellaneous::privacy_policy,FALSE,FALSE,FALSE,No
miscellaneous::programmes_with_no_clicks,FALSE,FALSE,FALSE,No
miscellaneous::programmes_with_no_sales,FALSE,FALSE,FALSE,No
miscellaneous::recipient,FALSE,FALSE,FALSE,No
miscellaneous::region_all,FALSE,FALSE,FALSE,No
miscellaneous::rejections,FALSE,FALSE,FALSE,No
miscellaneous::revenue,FALSE,FALSE,FALSE,No
miscellaneous::roi,FALSE,FALSE,FALSE,No
miscellaneous::sale_date_time_locale,FALSE,FALSE,FALSE,No
miscellaneous::sale_time,FALSE,FALSE,FALSE,No
miscellaneous::scheduler,FALSE,FALSE,FALSE,No
miscellaneous::SEK,FALSE,FALSE,FALSE,No
miscellaneous::sent,FALSE,FALSE,FALSE,No
miscellaneous::set_top_box,FALSE,FALSE,FALSE,No
miscellaneous::SKK,FALSE,FALSE,FALSE,No
miscellaneous.state,FALSE,FALSE,FALSE,No
miscellaneous::status_change_date,FALSE,FALSE,FALSE,No
miscellaneous::text,FALSE,FALSE,FALSE,No
miscellaneous::this_week,FALSE,FALSE,FALSE,No
miscellaneous::this_year,FALSE,FALSE,FALSE,No
miscellaneous::total_programmes,FALSE,FALSE,FALSE,No
miscellaneous.track_sources,FALSE,FALSE,FALSE,No
miscellaneous::transactions,FALSE,FALSE,FALSE,No
miscellaneous::USD,FALSE,FALSE,FALSE,No
miscellaneous::view_reference,FALSE,FALSE,FALSE,No
miscellaneous::welcome,FALSE,FALSE,FALSE,No
miscellanous.countries,FALSE,FALSE,FALSE,No
oat.modal.publisher_viewer,FALSE,FALSE,FALSE,No
pay_invoice::address_line_2,FALSE,FALSE,FALSE,No
pay_invoice::billing_country_option_gb,FALSE,FALSE,FALSE,No
pay_invoice::invalid_security_code,FALSE,FALSE,FALSE,No
pay_invoice::postcode,FALSE,FALSE,FALSE,No
pay_invoice::select_invoice,FALSE,FALSE,FALSE,No
pending_publishers::add_publishers_to_group,FALSE,FALSE,FALSE,No
pending_publishers::load_image_error,FALSE,FALSE,FALSE,No
pending_publishers::loading_screenshot,FALSE,FALSE,FALSE,No
program_quota::complete,FALSE,FALSE,FALSE,No
program_settings::change_ftp_password,FALSE,FALSE,FALSE,No
program_settings::country_list,FALSE,FALSE,FALSE,No
program_settings::ftp_address,FALSE,FALSE,FALSE,No
program_settings::ftp_product_feed_details,FALSE,FALSE,FALSE,No
program_settings::keywords,FALSE,FALSE,FALSE,No
program_settings::new_password,FALSE,FALSE,FALSE,No
program_settings::password_confirmation,FALSE,FALSE,FALSE,No
program_settings::target_country,FALSE,FALSE,FALSE,No
program_settings::test_connection,FALSE,FALSE,FALSE,No
publisher_applications::application_already_approved_declined_or_awaiting,FALSE,FALSE,FALSE,No
publisher_applications::application_already_approved_or_declined,FALSE,FALSE,FALSE,No
publisher_applications::application_approval_failed,FALSE,FALSE,FALSE,No
publisher_applications::application_approved,FALSE,FALSE,FALSE,No
publisher_applications::application_declined,FALSE,FALSE,FALSE,No
publisher_applications::application_marked_as_awaiting,FALSE,FALSE,FALSE,No
publisher_applications::application_not_found,FALSE,FALSE,FALSE,No
publisher_applications::note_saved,FALSE,FALSE,FALSE,No
publisher_review::description,FALSE,FALSE,FALSE,No
publisher_review::in_your_programme,FALSE,FALSE,FALSE,No
publisher_review::similar_web_invite_to_your_program_message,FALSE,FALSE,FALSE,No
publisher.advertisers.invitations,FALSE,FALSE,FALSE,No
publisher.miscellaneous,FALSE,FALSE,FALSE,No
publisher.reports.transaction,FALSE,FALSE,FALSE,No
publisher.reports.transaction.info,FALSE,FALSE,FALSE,No
publisher.sidebar.reports,FALSE,FALSE,FALSE,No
recent_earnings::clickthru_time,FALSE,FALSE,FALSE,No
recent_earnings::commission,FALSE,FALSE,FALSE,No
recent_earnings::date_paid,FALSE,FALSE,FALSE,No
recent_earnings::order_reference,FALSE,FALSE,FALSE,No
recent_earnings::override,FALSE,FALSE,FALSE,No
recent_earnings::status,FALSE,FALSE,FALSE,No
reports::adjusted_description,FALSE,FALSE,FALSE,No
reports::all_programs,FALSE,FALSE,FALSE,No
reports::browser_by_publisher,FALSE,FALSE,FALSE,No
reports::immutable,FALSE,FALSE,FALSE,No
reports::immutable_description,FALSE,FALSE,FALSE,No
reports::manually_added,FALSE,FALSE,FALSE,No
reports::manually_added_description,FALSE,FALSE,FALSE,No
reports::model_by_publisher,FALSE,FALSE,FALSE,No
reports::os_by_publisher,FALSE,FALSE,FALSE,No
reports::platform_by_publisher,FALSE,FALSE,FALSE,No
reports::publisher_by_browser,FALSE,FALSE,FALSE,No
reports::publisher_by_model,FALSE,FALSE,FALSE,No
reports::publisher_by_os,FALSE,FALSE,FALSE,No
reports::publisher_by_platform,FALSE,FALSE,FALSE,No
reports::publisher_by_vendor,FALSE,FALSE,FALSE,No
reports::switch_to_bar,FALSE,FALSE,FALSE,No
reports::switch_to_line,FALSE,FALSE,FALSE,No
reports::total_number_of_sales,FALSE,FALSE,FALSE,No
reports.transaction.info.cancel_all,FALSE,FALSE,FALSE,No
reports::vendor_by_publisher,FALSE,FALSE,FALSE,No
reports.wg_live,FALSE,FALSE,FALSE,No
sidebar::allowed_advertiser,FALSE,FALSE,FALSE,No
sidebar::allowed_programs,FALSE,FALSE,FALSE,No
sidebar.cognitive,FALSE,FALSE,FALSE,No
sidebar.integration,FALSE,FALSE,FALSE,No
sidebar.performance_reports,FALSE,FALSE,FALSE,No
tools.batch_upload.info,FALSE,FALSE,FALSE,No
tools.product_feed_manager,FALSE,FALSE,FALSE,No
tools.transaction_batch_file_results.table,FALSE,FALSE,FALSE,No
user_management.accept,FALSE,FALSE,FALSE,No
user_management::account_name,FALSE,FALSE,FALSE,No
user_management::address,FALSE,FALSE,FALSE,No
user_management::address_line_1,FALSE,FALSE,FALSE,No
user_management::address_line_2,FALSE,FALSE,FALSE,No
user_management::confirm_privacy,FALSE,FALSE,FALSE,No
user_management::date_of_registration,FALSE,FALSE,FALSE,No
user_management::invalid_privacy_policy,FALSE,FALSE,FALSE,No
user_management::postcode,FALSE,FALSE,FALSE,No
user_management::vat_number,FALSE,FALSE,FALSE,No
user_management::vat_number_placeholder,FALSE,FALSE,FALSE,No
user_management::vat_registered,FALSE,FALSE,FALSE,No
voucher_code_manager::delete_voucher,FALSE,FALSE,FALSE,No
voucher_code_manager::delete_voucher_text,FALSE,FALSE,FALSE,No
voucher_code_manager::voucher_deleted_successful,FALSE,FALSE,FALSE,No
voucher_code_manager::voucher_type_exclusive,FALSE,FALSE,FALSE,No
voucher_code_manager::voucher_type_generic,FALSE,FALSE,FALSE,No
